5.135051891457692586e-02,1.206684083238711708e-01,1.683738710216296230e-01,2.033497813929156239e-01,2.292331374121605592e-01,2.479591887810002060e-01,2.606711429517550305e-01,2.680533411216998729e-01,2.704750438940433099e-01,2.680533411216998729e-01,2.606711429517550305e-01,2.479591887810002615e-01,2.292331374121606147e-01,2.033497813929156239e-01,1.683738710216298173e-01,1.206684083238713234e-01,5.135051891457702300e-02
1.206684083238669103e-01,3.072204082506879153e-01,4.433830852990226501e-01,5.450583807089944832e-01,6.208936507482999412e-01,6.759765803196490230e-01,7.134496863884729478e-01,7.352366681253842406e-01,7.423874714564101529e-01,7.352366681253842406e-01,7.134496863884730589e-01,6.759765803196490230e-01,6.208936507483000522e-01,5.450583807089944832e-01,4.433830852990230942e-01,3.072204082506881373e-01,1.206684083238671323e-01
1.683738710216237944e-01,4.433830852990230387e-01,6.533248008506543636e-01,8.136091542590999648e-01,9.345462262488405392e-01,1.022952685660861061e+00,1.083316137687375225e+00,1.118482545522347715e+00,1.130035099001296839e+00,1.118482545522347715e+00,1.083316137687375447e+00,1.022952685660861061e+00,9.345462262488407612e-01,8.136091542590997427e-01,6.533248008506552518e-01,4.433830852990237048e-01,1.683738710216240164e-01
2.033497813929129594e-01,5.450583807089950383e-01,8.136091542590999648e-01,1.022484930736351272e+00,1.181897452136979387e+00,1.299249101227938574e+00,1.379716890651707217e+00,1.426709379491384766e+00,1.442163974303618978e+00,1.426709379491384766e+00,1.379716890651707217e+00,1.299249101227938574e+00,1.181897452136979387e+00,1.022484930736351272e+00,8.136091542591011860e-01,5.450583807089959265e-01,2.033497813929130982e-01
2.292331374121618359e-01,6.208936507482998302e-01,9.345462262488395400e-01,1.181897452136979165e+00,1.372485846008837385e+00,1.513681972159501399e+00,1.610894179763471712e+00,1.667801716371404064e+00,1.686537954692607366e+00,1.667801716371404064e+00,1.610894179763471712e+00,1.513681972159501843e+00,1.372485846008837607e+00,1.181897452136978943e+00,9.345462262488410943e-01,6.208936507483007183e-01,2.292331374121619469e-01
2.479591887810035089e-01,6.759765803196485789e-01,1.022952685660860395e+00,1.299249101227938130e+00,1.513681972159501621e+00,1.673354936545308869e+00,1.783663289182663592e+00,1.848371052632643563e+00,1.869696229419951283e+00,1.848371052632643563e+00,1.783663289182664036e+00,1.673354936545309091e+00,1.513681972159501843e+00,1.299249101227937686e+00,1.022952685660861505e+00,6.759765803196498002e-01,2.479591887810034534e-01
2.606711429517553635e-01,7.134496863884727258e-01,1.083316137687374336e+00,1.379716890651706773e+00,1.610894179763471268e+00,1.783663289182663592e+00,1.903318823165115470e+00,1.973619194883707628e+00,1.996804714995313201e+00,1.973619194883707628e+00,1.903318823165115914e+00,1.783663289182664036e+00,1.610894179763471712e+00,1.379716890651706329e+00,1.083316137687375447e+00,7.134496863884733919e-01,2.606711429517552525e-01
2.680533411216975970e-01,7.352366681253840186e-01,1.118482545522346827e+00,1.426709379491383878e+00,1.667801716371403842e+00,1.848371052632642453e+00,1.973619194883707628e+00,2.047275900067824228e+00,2.071579564770249959e+00,2.047275900067824228e+00,1.973619194883708072e+00,1.848371052632642453e+00,1.667801716371404286e+00,1.426709379491383212e+00,1.118482545522348381e+00,7.352366681253849068e-01,2.680533411216974304e-01
2.704750438940400903e-01,7.423874714564091537e-01,1.130035099001294618e+00,1.442163974303618090e+00,1.686537954692606034e+00,1.869696229419950839e+00,1.996804714995313645e+00,2.071579564770249959e+00,2.096256014668715029e+00,2.071579564770249959e+00,1.996804714995313645e+00,1.869696229419951283e+00,1.686537954692606478e+00,1.442163974303617646e+00,1.130035099001296395e+00,7.423874714564101529e-01,2.704750438940399238e-01
2.680533411216975970e-01,7.352366681253840186e-01,1.118482545522346383e+00,1.426709379491383878e+00,1.667801716371403842e+00,1.848371052632642453e+00,1.973619194883708072e+00,2.047275900067824228e+00,2.071579564770249959e+00,2.047275900067824228e+00,1.973619194883708072e+00,1.848371052632642453e+00,1.667801716371404286e+00,1.426709379491383212e+00,1.118482545522347937e+00,7.352366681253847958e-01,2.680533411216974859e-01
